estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Delta_h	-0.007061	-0.093551	0.079429	-0.0071 [-0.0936, 0.0794]	0.044128	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Delta_h_matrix	0.008188	-0.070722	0.087098	0.0082 [-0.0707, 0.0871]	0.04026	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Delta_h	0.009482	-0.009197	0.028161	0.0095 [-0.0092, 0.0282]	0.00953	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Delta_h_matrix	0.00842	-0.009812	0.026652	0.0084 [-0.0098, 0.0267]	0.009302	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Delta_h	0.046107	-0.080907	0.173121	0.0461 [-0.0809, 0.1731]	0.064803	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Delta_h_matrix	0.049613	-0.041885	0.141111	0.0496 [-0.0419, 0.1411]	0.046683	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	Delta_h	-0.009066	-0.478483	0.460351	-0.0091 [-0.4785, 0.4604]	0.239498	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	Delta_h_matrix	-0.069692	-0.485577	0.346193	-0.0697 [-0.4856, 0.3462]	0.212186	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	Delta_h	-0.127443	-0.631732	0.376846	-0.1274 [-0.6317, 0.3768]	0.25729	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	Delta_h_matrix	-0.294649	-0.594536	0.005238	-0.2946 [-0.5945, 0.0052]	0.153004	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	Delta_h	-0.031135	-0.509265	0.446995	-0.0311 [-0.5093, 0.4470]	0.243944	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	Delta_h_matrix	-0.026604	-0.289997	0.236789	-0.0266 [-0.2900, 0.2368]	0.134384	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	Delta_h	0.052147	-0.073813	0.178107	0.0521 [-0.0738, 0.1781]	0.064265	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	Delta_h_matrix	0.052371	-0.040308	0.14505	0.0524 [-0.0403, 0.1451]	0.047285	500	bootstrap_se_centered
